der Brautwerber,der Brautführer
 der Futterung suchet,der Furagierer
 der Schaffner,der Schlüsselträger
 ein Wunderzeichen,ein Schauspiel
 ein Reitküssen,ein Pomst
 der Putz,der Knall
 der Enckel,der Kinds-Kind
 das Geschrey,jauchzen
 das kirren,klage
 die Trübsal,die Bekümmernüß
 die Raffe,die Fresse
 das Ziel,das Mal
 das Betrübnüß,das Hertzeleid
 der Hobel u Drabiny szcżebel,die Sprossen an der Leiter
 ná chlebie,eine Blase am Leib Brodt
 der Verächter,der Tadler
 Zerger,Bekümmerer
 der Ernehrer,der Erhalter
 der Unterweiser,der Unterrichter,der Lehrer,der Unterrichter,der Lehrer
 zwłocżyćiel,ein Auffzieher,der etwas auffscheubt,ein Auffzieher,der etwas auffscheubt
 der Hopff,der
 die Feuchtigkeit der Erde,der Mergel
 der Zweyfalter,der Molckendieb
 die Lust,die Geschwindigkeit
 der Muth,das Gemüthe
 das Vornehmen,das Beginnen
 allein,er selber
 die Vermietung,die F Mietung
 Kündig,wolwissend
 ein langer Polnischer Rock,der Ober Rock
 der Widder,der Staer
 die Klette,groß Kletten Kraut
 die Freundschafft,die Gunst
 der Lehrjunge,der Schüler
 der Außländer,der Frembdling
 der Fäuling,langsam
 der Gesang,das Lied
 der Fußfall,die Anthuung der Ehre
 der Horizon,der Gesicht-Kreiß
 der Gang,der Zutrit
 die Schantze,der Graben
 die Decke,vertäffelte Ober Bühne
 Spur,Fußstapff
 die Kneip,die
 das jauchtzen,das murmeln unter den Leuten
 der Zanck,der Streit
 Zanck,Streit
 Maßholder,Ahorn
 die Strasse,der Weg
 der Schein,die Zierd
 der Auffseher,der Achthaber auff ein Ding
 der Stock,das Stockhauß
 das Gethön,das Wiederhall
 das Elend łosoś,der Lachs
 Abschnit,Schalen
 der Gesell,der Geferte
 die Uneinigkeit,die Haß
 der Substitut,der Unter-Lehrmeister
 ein Gespräch,ein Geplauder
 ein Tritt wenn sich ein Pferd an einem Fuß durchs Huffeisen am andern beschädiget hat,oder von einem andern getreten worden
 die Klaffter,eine Rutte
 die Umbwendung,der krumme Umbgang
 das Geräusch,das Gepolter
 das Dacht,die Putze
 der Flug,das fiegen
 die Sorg,die Bekümmernüß
 ein Stück,ein Schrot Fleisch
 Geräusch,Gepolter
 die unzeitige Geburth,die Mißgeburth
 das verharren,wohnen
 Panterthier,Leopard
 das wachen,offenbar
 der Teich,die Fugen der Bein
 der Auffrührer,der Kostfreyhalter
 die Staude,ein Zweig
 Iener,der
 das Geschlecht,das Geschlecht-Regiester
 die Büchs,die Salbbüchs
 die Kleidung,der Schmuck
 dem übel ist,speyerlich
 der Ohme,der Mutter Bruder
 der Vetter,deß Bruder
 der Schlag,der Streich
 die Beraubung,die Plünderung
 das Kupffer,allerley Metall
 die Außfuhr łodź,der Kahn
 Trüsen,das sich unten setzt im Oel
 eine Beul w gárdle guz,der Knopff an der Kehle
 die Bauren-hütte cżyż,ein Distelfincke
 der Sand,der Grieß
 Wegtrit,Weg-Graß
 eine Gattung Wegtrits,so auff den Bergen wächst
 der Uberfluß,der Ubermaß
 Kannengiesser,Zihngiesser
 die Lästerung,die Verleumbdung
 die Prang,die Staupsaul
 ein Betrieger,ein Verfälscher
 das Leid,die Trauer Kleider
 der Sold,die Zahlung
 das Handbecken,das Waschgeschirr
 die Kutte łápicá,die Maußfall
 der Pfriem Zwaycá,der Zäncker
 prawdá,Tischring
 ein Haupt-Gezierde,ein Bändel
 das Wange,die Beer
 die Ton[n]e,der Bauerstock
 der Zaun,die Verzäunung
 die Lefftze,die Lippe
 Burtzeln,bürgelt
 der Kerder,der Saum
 Meelthau,Brand im Getrayd
 die Furcht,das Schrecken
 der Brustfleck,der Brustharnisch
 die Feuer-Schauffel,die Ofengabel
 die Unlust,die
 das Iucken,die Krätze
 ein Richlein,ein Biesem Knopff
 der Stock łáská,die Gunst
 der Karteck,der Taft
 das Selband,die Ecken
 der Fischhelter,der Weyher
 die Niederlage,die Schlacht
 die Decke,die Deckel
 ein klein Gestühl,das Gezeh ienká,das Badstühlein Laźienká,das Gezeh ienká,das Badstühlein Laźienká
 die Muhme,deß Vaters Schwester
 eine Taube,eine Brett
 der Danck łáżęká,der Schlüffel
 der Schlund,der Rachen
 Schminck,damit sich das Frauenzimmer roth machet
 ein Kertz,ein Ampel
 die Täntzerin,die Springerin
 die Klapper,die Schellen
 das Gedritte,die drey im Kartenspiel
 das Galotchen,das Badhütlein
 die Hindin,die Zaucke
 Kurtzweil,Ergetzligkeit
 Krafft,Vermögen
 der Rand,die Leist,die Rahm,die Leist,die Rahm
 der Verdruß,so man über etwas gutten bekomt,der darnach stehet,so man über etwas gutten bekomt,der darnach stehet
 der Iest,der Schaum
 der Tausch,der Wechsel
 Schupen,als am Harnisch
 die Rauhigkeit,steinichter Weg
 Gepüsch,Strauch
 eine Wiete,von Weiden
 abgefeyltes,Feyl-Staub
 ein liegend Erbgutt,ein Erbe
 der Thon,der Lehm
 die Schwulst,die Wassersucht
 der Bruch,der
 die Brandstete,der Brenner an den Bäumen
 das Aaß,ein verrecket Vieh
 das Lungmuß,das Zustückte
 der Bircken,der Holtzbaum
 der Fürhang,der
 die Fichte,die Tanne
 die Prächtige,reichliche
 die Narbe,die Wundmahl
 ein dürrer,ein Ort da nichts wächst
 Hauptgutt,Haupt Summ
 das Alter,graue Haar
 die Rohigkeit,die Unverdauligkeit
 die Nonne,die Krug Flasch
 ein Wetterhäuslein,ein Schoppen
 die Pfart,die Pfarr-Kirche
 der Fürwitz,der Hans in allen Gassen
 der Streit-Hammer mit einer schneide,wie ein Beil doch nicht so scharff
 das Gewülck,trübe Wetter
 ein Clausur,ein Gesperr
 der Wadsack,der Tasch
 die Stütze,die Unterstützung
 ein Band damit man was zusammen fügt,es sey höltzern oder eisern
 ein Wischlumpen,ein Wischtuch
 der Adel,der Edelleute
 die Weichligkeit,die Zärtligkeit
 die Schwadern,der
 der Sauß,der Geilheit
 das Lob,das Leymuth
 das Gesetz,die Ordnung
 die Hitze,die Brunst
 die Verweilung,die Zeitvertreib
 das schlagen,schlegerey
 Przedmowá,die Vorrede
 das Gestifft,das Einkommen
 Stoltz,Hochmuth
 die Iugend,jungen Iahre
 die Ernsthafftigkeit,die Grausamkeit
 die Nässe,die Wassertrudel
 die Wenigkeit,die Kleinheit
 die Standhafftigkeit,die Beständig- keit
 die Großmütigkeit,die Herrligkeit
 die Fertigkeit,die Erfahrung
 der Anstoß,das angelegen ist
 die Fäule,die Verwelckung
 die Zucht,die
 die alte,die Veraltung
 die Ruhmsucht,die Stoltz
 die Saurigkeit łáćność,die Leichtigkeit
 die Fürtreffligkeit,die Würde
 Gleichheit einerley Art,und Weise
 Holdseligkeit,Anmutigkeit
 die Unendligkeit,unzahlbar
 die Klarheit,die Scheinbarligkeit
 das unterstehen,unterwinden
 die Erbarkeit,die Sitsamkeit
 die Herrligkeit,die Pracht
 die Erbarkeit,die Geschickligkeit
 die Geilheit,die Unkeuschheit
 die Löchrigkeit,die Schwemmigkeit
 die Tobsucht,der Eyfer
 die Ungestümmigkeit,die Hefftigkeit
 der Eyfer,der Brunst
 die Eingezogenheit,die Mässigung
 der Eyfer,der Grimm
 die Zustellung,das zuwenden
 die Räncke,das verdrehen
 das einmischen,einwerffen
 das loben,anbefehlen
 das versuchen,erfahren
 die Emsigkeit,das offte geschehen
 das außbügeln,die Glattmachung
 das außlegen,das erklären
 das aufflegen,auffkasten
 das verrathen,heraußgeben
 die Willfahrung,die Folg
 das rath schlagen,berathfragen
 das zittern oder klopffen,springen
 das schwere heben,tragen
 die Außflucht,das dracken
 die Abschneidung,der Schnitt
 das außspülen z Płokánie,das abspülen
 das stolpern,das schlagen auffeinander
 das machen,das
 die Vollendung,die Außrichtung
 die Vermehrung Rozcżyniánie cżego wodą,etwas mit Wasser anmachen
 die Zerfleischung,die Zerreissung
 das schnauben,murren
 der Angrieff,der Anfall
 die Zuschrift,die Beymessung
 das fliegen łátánie,das flicken
 das murren,brummen
 das Handreichen,das Zuschub
 das erlangen,das überkommen
 die Gestaltung,die Abbildung
 das umbscharren,harcken
 das schmecken,kosten
 das anziehen der Schuhe,das anschuhen
 die Erquickung,die Erholung von der Kranckheit
 die Versorgung,die Verwaltung
 das vorhersehen,das Vorbedeu- tung
 das schmecken,kosten
 die Verzeichnüß,die Auffschreibung
 die Verwaltung,die Verrichtung
 die Vergleichung,die Gegenhal- tung
 das besitzen der Gütter,auff- gerichtliches Zuerkäntnüß
 das verschütten Zászorowánie piáskiem w wodźje,die Auffwerffung deß Sandes
 der Gebrauch,die Nutzung
 die Zuthuung,der Augen
 das schmücken,zieren
 das drehen,das
 die Schwächung,das beflecken
 das üben,die Unterweisung
 das lauffen,rinnen
 die Vergönnung,die Erlaubnüß
 die Peinigung,die Bekümmerung
 die Verzeihung,die Vergebung
 das drehen,schleiffen
 die Abscheu,die Haß
 die Verachtung,die Verschmähung
 das gläntzen,schimmern
 das pflantzen,die Pfropffung
 die Mühe,die Unterwindung
 das abwenden,entkommen
 das ernehren,das Mestung
 das meyden,scheuen
 die Beschützung,die Schirm
 die Vollendung,die Ersetzung
 das tadeln,schelten
 der Hunger,das hungern
 das eingeben,einblasen
 Uneinigkeit,Widersinnigkeit
 die Verbündnüß,die Vereinigung
 die Verstummung,das ver- stummen
 das auffkauffen,das häuffen
 die Peinigung,die Trübsal
 das beben,schüttern ge[n])
 das austra-Duszęnie,das würgen
 das wagen,unterfangen
 die Umbzirckelung,die Einschrenckung
 das beugen,krümmen
 die Abfertigung,das abschaffen
 das rühmen,preisen
 die Verzehrung,die Verdauung
 das dauen,verzehren
 das Heil,die Seligkeit
 das umbschweifsfen,umbziehen
 das rauchen,brodmen
 das zulegen,zugeben
 das rösten,braten
 das Fütterlein,das Futral
 ein Sumpff,ein Morast
 der Dornpusch,der Dornheck
 Lab,Käse-Lab
 Spän-Kammer,Spän-Hauffen
 die Verlachung,die Verspottung
 das Hackbret,darauff man spielet
 die Flitte,die Laßeysen
 Schmincke,Bleyweiß
 der Weyrauch,der Rauchwerck
 die Außreitung,die Iätung
 die Bleywag,die Richtschnur
 die Schlinge,die Dohne
 ein Losung,ein Wahlspruch
 das gemeine Regiment,da ihrer viel herrschen
 die Christenheit,die Christenthum
 die Grobheit,die Unhöffligkeit
 die Ehren-Stelle,die Ehren-Ambt
 der grobe Sand,der Kieß
 das Ehren-Małzeństwo,der Ehstand
 der Gottes-Dienst,der Andacht
 der Raub,der Beute
 die Mitgeniessung,die Theilhafftig- keit
 die Vielheit,die Menge
 die Thorheit,die Unsinnigkeit
 das jucken,die Krätze
 ein Schutz,ein Plente
 Brust,Dutt
 zákwy,Sattel-Tasch,Felleysen,Sattel-Tasch,Felleysen
 die Augenlieder,die Kniebel
 eine Erdmauß,eine gesprengte Erdspinne
 Trzask,Schmitz,Schmatz,Schmitz,Schmatz
 Zanner,Pipperlein
 Troßbube,Waffenträger
 ein Mund-voll,ein Bissen
 die Empörung,die Getümmel
 Uneinigkeit,Zwitracht
 der Ringer ádámászek,der Damaschk
 Schaffer,Ambtmann
 die Zotte,die Flöde
 der Regierer,der Verwalter
 die Reu,die Leyd
 Auffruhr,Zwytracht
 Pfropffer,Pflantzer
 Wasser-Podkopnik,schantzgräber
 eine Müntz,die ein Quintlein hält
 das Schlacken,das
 das Rothbrustlein,das Thumpfaffe
 ein Meerkrebs áłábástr,glatter Marmolstein
 die Falschheit,die Betrng[Betrug]
 der Schlag,die Lähme
 węgry,Sonnensprossen,Finnen,Sonnensprossen,Finnen
 ein mit Eysen beschlagenes Gegitter,das über dem Thor oder Thurm henget
 die Tasche,die Wadsack
 der Schlichter,der Schiedesman
 ein Zierrath der Weiber,als Ring,oder Häfftlein,als Ring,oder Häfftlein
 das Schürtztuch,das Ringerin
 der Verdruß,der Abscheu
 selbst-Herrscher,der Herr
 das Unrecht,die Kürtze
 die Heffte,die Holtzband
 Leichterung,Ringerung
 das Püpchen,das Spielgezeug
 der Schleyer,der Decktuch
 ein Praler,ein Pranger
 die Nahrung,die Fütterung
 Fischgarn,Netz
 die Insul,die Eyland
 der Schmatz,das Mäulchen
 Lockspeise,Anreitzung
 der Vorrath,das Ertzt
 der Vergleich,eine Ubersetzung
 die Schwachheit,die Mattigkeit
 die Behendigkeit,die Geschwindig- keit
 die Fürsichtigkeit,die Geschickligkeit zuverrichten
 die Flüchtigkeit,die Geschwindigkeit
 Seltzamkeit,die Dünnigkeit
 die Weichheit,die Lindigkeit
 die Greßligkeit,die Eckel
 die Wildheit,die Grimmigkeit
 die Seuchtigket,die Untieff
 die Rauhigkeit,die Herrligkeit
 die Fröligkeit,die Lustigkeit
 Ungestüm,Sturmwind
 die reiffe,rechte Zeit
 die Gelegenheit,die Fertigkeit
 das Vertrauen,das ich zu einem habe
 das Vertrauen,das ich mich versehe,die Zuversicht,das ich mich versehe,die Zuversicht
 die Eigenschafft,natürliche Neygung
 die Unkeuschheit,die Unflättigkeit
 das Alterthum,graue Haar
 die Lebligkeit,die
 die Gemeinheit,die Gemeinschafft
 das auffgeblasen ist,das Aufgeblasenheit
 die Engigkeit,die Dicke
 Ohnmächtigkeit,das Unvermöge[n]
 der Rechen,die Harcke
 der Schlag,das schlagen
 die Socken,die Filtzschuch
 das kräncke[n],die Bekümmernüß
 nichts werthe Dinge,Narrerey
 ein Solcher,solcherley
 ein Vertrag,ein Vergleich,ein Ammt,ein Vergleich,ein Ammt
 Hurtig,dapffer
 Einheimisch,unser
 plat,flach,eben,flach,eben
 Hurtig,fertig
 der,die,das grosse,die,das grosse
 der,die,das dünne,subtil,die,das dünne,subtil,die,das dünne,subtil
 Feige,scheu
 schnell,behende,hurtig,behende,hurtig
 der,die das nahe
 der,die,das niedrige,die,das niedrige
 Bürgerlich,Städtisch
 ein Diener vom Hoffe,ein Hoffe Diener
 der,die,das Iüdische,die,das Iüdische
 Hurtig,schnell
 der,die,das tieffe,die,das tieffe
 bieláwy,Schneeweiß
 der,die,das letzte,die,das letzte
 der,die,das tägliche,die,das tägliche
 der,die,das untere,die,das untere
 der,die,das hexische,die,das hexische
 der,die,das Iungferliche,die,das Iungferliche
 Fehin,schimrig
 eilig,geschwind
 der,die,das braun-schwartze,die,das braun-schwartze
 der,die,das schwärtzliche,schwartzbraun,die,das schwärtzliche,schwartzbraun,die,das schwärtzliche,schwartzbraun
 verrochen,veralteter Wein
 Prächtig,
 verfaulet,der träg ist worden
 Rostig,verrostet
 Wütend,tobend
 Geronnen,dick an einander
 Gestorben,todt
 das sich ziehen,zerren lässet
 Anstossend,an einander gelegen
 Zusammen verschworen,verbunden
 ein gutter Trincker,versoffen,ein Sauffhals,versoffen,ein Sauffhals
 Bewachsen,
 Neu,vorhin nicht gesehen
 Begehret,verlanget
 Gestopfft,ausgefüllet
 Unabgespület,
 Ununterschiedlich,was nicht un terschieden ist
 Untenangekerbet,unterschnitten
 Außgejagt,verjagt
 Zerrissen,zerlumpt
 nicht zusammen gelesen,zerstreuet
 Geschmücket,bekleidet
 Außgeputzet,außgekehret
 auffgegeben,abgeschaffet
 unbefestiget,unbeschirmet
 Unbrüchig,unzerreißlich
 Unpoliert,ungeputzt
 ungezähmt,frech
 unbeschädigt,unversehret,un- verdorben,unversehret,un- verdorben
 anbefohlen,aufferlegt
 eingesalbet,eingeschmieret
 der,die,das anlockende,die,das anlockende
 Vornehm,stattlich
 fürsichtig,verständig
 ungeschmack,unschmack- hafftig
 verkehrt,böse
 greulich,heßlich
 der,die,das auffwürffische,die,das auffwürffische
 der,die,das eingeworffen,die,das eingeworffen
 eitel,schwätzig
 unstraffbar,das nicht gestrafft werden kan
 wolgestalt,schön
 unzuständig,nicht eigen
 angenehm,wolgefällig
 vorgehend,ausgebogen
 der,die,das,vorige,alt,die,das,vorige,alt,die,das,vorige,alt,die,das,vorige,alt
 gefälscht,geschmierter Wein
 hurtig,fertig
 alt,lang vergangen
 geschäfftig,ausrichtsam
 verzehrig,das man isset
 höfflich,sitsam
 feyl,das zuverkauffen ist
 gelegen,bequem
 ungeneigt,ungünstig
 unerwogen,unbetrachtet
 ernsthafftig,ansehnlich
 Lasterhafftig,verschmähet
 zugegen,gegenwärtig
 fein,hübsch
 unlöblich,ungeschickt
 unbeständig,wanckel müthig
 der am Fluß wohnet,oder auß dem Wasser-Fluß ist
 beständig,
 hiesig,einheimisch
 langlebend,wehrend
 geil,uzüchtig,unkeusch,uzüchtig,unkeusch
 überflüssig,unmässig,unnütze,unmässig,unnütze
 Monatlich,das in einem Monat geschiehet
 irrsam,herumbschweiffend
 mässig,sparsamiich[sparsamlich]
 der,die,das obere,die,das obere
 ansdrücklich,offenbar,klärlich,offenbar,klärlich
 finster,dunckel
 umbsonst,ohn Ansehen einer Vergeltung gegeben
 Eintägig,ein Tag alt
 ungelegen,unbequem
 zeitig,füglich,wolgelegen,füglich,wolgelegen
 wild,Waldman,Förster,Waldman,Förster
 unlieblich,unschertzhafftig
 lieblich,holdselig in Worten
 willig,guttwillig
 unerfahren,ungeschickt
 begreifflich,das umbfasset werden kan
 wissenhafft,wolwisseud[wolwissend]
 Spitzfündig,geschwinde
 Verwand,Blut-Freund
 inwendig,innere
 starckmachend,stärckend
 Embsig,mühsam
 Gastfrey,freundlich
 unterworffen,an eines andern statt untenliegen
 erfahren,bewehret
 Ungeehret,veracht
 Unvollkommen,halb gethan
 zustossen,erschüttert
 gestampffet,gestossen
 verfüget,vergesellet
 gefeuchtet,naß
 auffgeschoben,verleget
 glatt,polieret
 angebohren,von Natur angebohren
 abgerieben,abgenützet
 verachtet,vernichtet
 bemistet,bedünget
 zusammen gefüget,gepacket
 ungeschoren,ungeputzet
 befreyet,frey gemachet
 verpflichtet,unterworffen
 geschwächet,verletzet
 unbewegt,unerschrocken
 unversucht,unangefochten
 bezirckelt,eingeschrencket
 vorhergesehen,versorget
 erschrecklich,dem die Haar in die Höhe stehen
 entdeckt,bloß,entblösset,bloß,entblösset
 beleidiget,
 beschoren,eröffnet
 verlobet,versaget
 der,die,das gearbeitete,die,das gearbeitete
 gefällig,beliebet
 gezogen,gerucket
 ungescholten,ungetadelt
 unbewegt,unangereitzet
 geschmoltzen,zerlassen
 erkauffet,vorgekauffet
 unverzehret,unverdauet
 geschändet,verläumbdet
 besudelt,beflecket
 erlöset,befreyet
 Krumgebogen,gekrümmet
 unmüglich,unehnlich
 unfüglich,ungeschickt
 wolgestalt,zierlich,hübsch,zierlich,hübsch
 geschickt,bequem
 starck,kräfftig,mächtig,hefftig,kräfftig,mächtig,hefftig,kräfftig,mächtig,hefftig
 beweißthümlich,augenscheinlich
 der eingeborne,alleingebohrne
 das Rogen gebieret łágodny,das Freundlich,lieblich,holdselig,das Freundlich,lieblich,holdselig,das Freundlich,lieblich,holdselig
 selbst wachsend,selbst zeugend
 Freymütig,unbeherscht
 veträglich,einhellig
 unterst,untenher
 Bäurisch,das vom Feld ist
 willfährig,
 Muthwillig,Gesetzloß
 bewehrt,befestiget
 fürsichtig,geschicklich
 Bübisch,unflätig
 kläglich,betrübt traurig
 schlimm,krumm
 Wollüstig,zart
 schnell,umbwendig
 heilsamlich,lebhafft
 das zum schencken ist,oder geschen- cket wird
 ein gewaltsames verfahren,ein Beginnen
 beredsam,gesprächig
 versichert,wolbewahrt
 Würdig,ansehnlich
 Mächtig,müglich
 Sauber,reinlich
 träg,faul,hinlässig,faul,hinlässig
 Unbändig,übermütig,geil,übermütig,geil
 öd,unbewohet,muthwillig,unbewohet,muthwillig
 grausam,tyrannisch
 anklebend,anfallend
 verschwenderisch,verthulich
 der,die,das einige,die,das einige
 Betrieglich,ungewiß
 Scharffsinnig,witzig,sinnreich,verschmitzt,witzig,sinnreich,verschmitzt,witzig,sinnreich,verschmitzt
 bedachtsam,wolbesinnet
 arglistig,fälschlich
 überflüssig,reichlich
 wachsam,munter
 schwartz gelb,grau
 verschmitzt,arglistig
 der,die,das ältere,die,das ältere
 der,die,das einen grossen Bauch hat,die,das einen grossen Bauch hat
 häricht,zotticht
 mürbe,das da knarret
 cynkowáty obruz,ein Zwillichen Tischtuch
 der,die,das gewölckete,die,das gewölckete
 der,die,das kröpffichte,die,das kröpffichte
 dem Eiß ähnlich łojowáty,das vom Unschlit ist
 gestreifft,striemicht
 wężykowáty,das wie eine Schlange krumm ist
 zuwerffig,zugegeben
 angenehm,wolgefällig
 hol,geblasen
 ausgenommen,ausgezogen
 der,die,das verbannete,die,das verbannete
 der,die,das offte,die,das offte
 der,die,das zweyfache,die,das zweyfache
 Kothig,medentzend
 Kräutig,voll Stengel
 steinicht,felsicht
 Kräutig,voll Kraut
 das voll Kißlinge ist łonisty,das Krümmicht,faldicht,das Krümmicht,faldicht
 feurig,flammig
 śrzonisty,reiffig,das voll Reiff ist,reiffig,das voll Reiff ist
 voll Hefen,heficht
 unkeusch,unrein
 außgehölet,gebahnet
 auffgesperret,allenthalben offen
 Eigensinnig,unbewegltch[unbeweglich]
 geschnitzet,gestochen
 eingestochen,eingegraben
 unflätig łáskáwy,freundlich,günstig,freundlich,günstig
 mager,dürre,außgemergelt,dürre,außgemergelt
 der,die,das rechte,die,das rechte
 der,die,das blutige,die,das blutige
 gelbächtig,gelbroth
 frisch,muthig,lebhafftig,muthig,lebhafftig
 barnhertzig,mitleidig
 unehrlich,unflätig
 ehrsam,Ehrenfest
 schandfleckisch,verläumbde- risch
 unflätig,stinckend
 ein Göcker,ein Rültzer
 schnell,gehling
 schwätzig,schnarrend
 Mertzblümlein łokćiowy,das eine Elle lang oder breit ist
 bereit,fertig
 Ehrenverletzlich schändlich Auff die selbst-und beyständigen Wörter die nach ihren Geschlechten geordnet sind,folgen nun die,so man nach dem Lateinischen zu-vor-und Füge Wörter nennet,und sind solche,theils eintzeln,theils auch in einer gewissen Rede,anzutreffen.,folgen nun die,so man nach dem Lateinischen zu-vor-und Füge Wörter nennet,und sind solche,theils eintzeln,theils auch in einer gewissen Rede,anzutreffen.,folgen nun die,so man nach dem Lateinischen zu-vor-und Füge Wörter nennet,und sind solche,theils eintzeln,theils auch in einer gewissen Rede,anzutreffen.,folgen nun die,so man nach dem Lateinischen zu-vor-und Füge Wörter nennet,und sind solche,theils eintzeln,theils auch in einer gewissen Rede,anzutreffen.,folgen nun die,so man nach dem Lateinischen zu-vor-und Füge Wörter nennet,und sind solche,theils eintzeln,theils auch in einer gewissen Rede,anzutreffen.,folgen nun die,so man nach dem Lateinischen zu-vor-und Füge Wörter nennet,und sind solche,theils eintzeln,theils auch in einer gewissen Rede,anzutreffen.
 ob er,(sie) mir gleich was antworten wird
 über das hat er (sie,mir auch das gesaget
 so lange (bißher) hat er mich der Schuld wegen nicht erinnert áOdkądże mam strzelać,von wo sol ich schiessen Możesż wászeć od tąd pocżąć pisać,er (sie) kan von hienan anfangen zuschreiben,von wo sol ich schiessen Możesż wászeć od tąd pocżąć pisać,er (sie) kan von hienan anfangen zuschreiben
 von wannen seyd ihr mit den Fischen,Krebsen
 kono piámi,von wannen ich mit dem Flachs Hanff bin
 so wie du mich vor deinen Augen siehest Ták śię rzecż ma á nie inácżey,so verhält sich die Sache und nicht anders
 (stára) so ist er (sie) schon so,alt
 nu ein Iahr,habe ich auch von ihm gekauffet
 hast du doch,trau ich,den Strumpff verkehrt angezogen,trau ich,den Strumpff verkehrt angezogen
 er (sie) lieget rücklings á ja ná wznák leżeć nie mogę,und ich kan rücklings nicht liegen
 unterweilen,ist er (fie) mir günstig
 und unterweilen ist er (sie) auch böse (ungehalten auff mich,
 (mogłá) mieć wiádomość,wenn ich zeilich davon könte Nachricht haben
 er (sie) hat allezeit nach dem Herren und nicht nach der Frauen gefraget á Teraz śię pyta zá pánną młodszą,un[d] ietzund fraget er (sie) nach der Iüngsten Iungfer
 z towarem,ich habe biß auff den Abend mit der Waar gewartet
 er hat ihn so lange geschlagen,biß er ihn erschlagen hat
 etwan[etwas] durch einen Weg,wodurch nur
 die quer,seitlingen
 unterweilen,zu Zeiten
 demnach,hierauff
 es ist wahr,daß es soist
 ins gemein,gemeiniglich
 gebührend,gerade recht
 warlich,ohne Zweiffel
 unachtsam,liederlich
 Unbeständig,
 prächtig,herrlich
 hochmüthig,trotziglich
 freventlich,frechlich
 unbedachtsam,unbesonnen
 heimlich,unvermerckt
 bößlich,hinter sich
 füglich,leichtlich
 gleich,eygentlich
 höfflich,sittlich
 unverständlich,unvernehm- lich
 unerbar,unanständig
 nützlich,zuträglich
 würcklich,kräfftiglich
 sämtlich,ingesamt
 erbar,standhafft
 schändlich,hürisch
 fürnemlich,erstlich
 zierlich,fein
 allgemein,sämtlich
 annehmlich,freundlich
 sparsam,mässig
 weitläufftig,deutlich
 zeitlich,bequemlich
 erfreulich,mit Ergetzung
 sich männlich,tapffer halte[n]
 schwach,unkräfftig
 sparsamlich,karglich
 unwillig,verdrossen
